Username,Time,Message
1, 07/15/06 9:32:20 PM , hello how u doing
0, 07/15/06 9:33:59 PM , hi
1, 07/15/06 9:34:29 PM , so what u up to tonight
0, 07/15/06 9:34:59 PM , nothin much
1, 07/15/06 9:35:04 PM , same here
1, 07/15/06 9:35:10 PM , what ur age
0, 07/15/06 9:35:15 PM , im 15
0, 07/15/06 9:35:17 PM , u ?
1, 07/15/06 9:35:26 PM ,23
1, 07/15/06 9:35:32 PM , where r u from in ga
0, 07/15/06 9:35:45 PM , im kinda near columbus
0, 07/15/06 9:35:47 PM , u ?
1, 07/15/06 9:35:59 PM , albany
1, 07/15/06 9:36:05 PM , where is ur pic
0, 07/15/06 9:36:14 PM , thers 1 in my prof
1, 07/15/06 9:36:57 PM , u r cute
0, 07/15/06 9:37:00 PM , ty
1, 07/15/06 9:37:07 PM , do u have a b/f
0, 07/15/06 9:37:15 PM , no not now
1, 07/15/06 9:37:33 PM , hard to belive as cute as u r
0, 07/15/06 9:37:42 PM , lol ty
1, 07/15/06 9:38:07 PM , what do u do for fun
0, 07/15/06 9:38:22 PM , i play guitar n swim
0, 07/15/06 9:38:25 PM , u ?
1, 07/15/06 9:38:30 PM , oh ok nice
1, 07/15/06 9:38:34 PM , i work out alot
1, 07/15/06 9:38:45 PM , i am 6\ '' 1 200 brw eyes dark hair cute smile
0, 07/15/06 9:38:56 PM , do u have a pic ?
1, 07/15/06 9:39:31 PM , not yet
1, 07/15/06 9:39:38 PM , so u like older guys
0, 07/15/06 9:39:55 PM , thers bad or nice guys all ages
1, 07/15/06 9:40:32 PM , u ever date someone my ate
0, 07/15/06 9:40:42 PM , not yet lol
1, 07/15/06 9:41:10 PM , love to kiss u
0, 07/15/06 9:41:25 PM , wow lol
1, 07/15/06 9:41:35 PM , did i offend u
0, 07/15/06 9:41:41 PM , no
0, 07/15/06 9:41:56 PM , that was sweet
1, 07/15/06 9:42:07 PM , now whats ur age again
0, 07/15/06 9:42:17 PM , im 15
0, 07/15/06 9:42:32 PM , dont even kno ur name n u wan na kiss me lol
1, 07/15/06 9:42:41 PM , i am marcus
1, 07/15/06 9:42:43 PM , sorry
0, 07/15/06 9:42:50 PM , hi marcus im erin
1, 07/15/06 9:43:18 PM , nice to meet u sexy
0, 07/15/06 9:43:38 PM , nice to meet u too
1, 07/15/06 9:44:19 PM , r u a virigin
0, 07/15/06 9:44:40 PM , yea lol y ?
1, 07/15/06 9:44:51 PM , mmmmmmmmmm ok
1, 07/15/06 9:45:47 PM , u there
0, 07/15/06 9:45:59 PM , yea
1, 07/15/06 9:46:20 PM , i bet lots of guys hit on u
0, 07/15/06 9:46:26 PM , lol some
1, 07/15/06 9:46:44 PM , any guys my age
0, 07/15/06 9:46:50 PM , some
1, 07/15/06 9:47:05 PM , do u think i am too old
0, 07/15/06 9:47:23 PM , na guess not
1, 07/15/06 9:47:47 PM , i know i would spoil u
0, 07/15/06 9:47:54 PM , how ?
1, 07/15/06 9:48:01 PM , buy u things
1, 07/15/06 9:48:03 PM , give u things
1, 07/15/06 9:48:07 PM , take u places
1, 07/15/06 9:48:10 PM , be with u
0, 07/15/06 9:48:21 PM , wow lol
0, 07/15/06 9:48:33 PM , we just chatted a few min
1, 07/15/06 9:48:46 PM , i know how to treat ladies
1, 07/15/06 9:48:52 PM , so i know how i would do u
0, 07/15/06 9:49:04 PM , u sound cool lol
1, 07/15/06 9:49:32 PM , i am
1, 07/15/06 9:49:45 PM , so does ur mom let u go places
0, 07/15/06 9:49:58 PM , mom isnt here
0, 07/15/06 9:50:09 PM , im stayin wit my grandparents for the summer
1, 07/15/06 9:50:25 PM , ok do they let u get out
0, 07/15/06 9:50:42 PM , havent been much cuz thers no place to go
1, 07/15/06 9:50:59 PM , i could take u places
0, 07/15/06 9:51:11 PM , really ?
1, 07/15/06 9:51:17 PM , yes
0, 07/15/06 9:51:35 PM , like where ?
1, 07/15/06 9:52:05 PM , mall movies
1, 07/15/06 9:52:10 PM , my place
0, 07/15/06 9:52:18 PM , oh lol
0, 07/15/06 9:53:00 PM , soo wat kinda work do u do
1, 07/15/06 9:53:12 PM , i work for ups
1, 07/15/06 9:53:20 PM , so do u think u would like that
0, 07/15/06 9:53:50 PM , idk lol we just chatted a few min but u seem cool
0, 07/15/06 9:54:13 PM , got ta know ur not a psyco lol
1, 07/15/06 9:54:38 PM , oh i am very cool
0, 07/15/06 9:55:22 PM , hmm dont kno wat u look like tho
1, 07/15/06 9:55:37 PM , very cute
1, 07/15/06 9:55:45 PM , i am 6\ '' 1 200 brw eyes dark hair
1, 07/15/06 9:55:50 PM , mixed blk guy
0, 07/15/06 9:56:09 PM , u said that lol guess i got ta trust it
1, 07/15/06 9:56:30 PM , ur just lucky ur not here
0, 07/15/06 9:56:36 PM , y ?
1, 07/15/06 9:56:45 PM , i would be kissing u
0, 07/15/06 9:56:55 PM , aww
1, 07/15/06 9:57:05 PM , u ever had oral sex
0, 07/15/06 9:57:10 PM , no
1, 07/15/06 9:57:41 PM , so do u shave ur pussy
0, 07/15/06 9:57:48 PM , didnt yet lol
1, 07/15/06 9:58:16 PM , would u for me
0, 07/15/06 9:58:27 PM , u want me to ?
1, 07/15/06 9:58:46 PM , before i taste u yes
1, 07/15/06 9:58:50 PM , how hairy r u
0, 07/15/06 9:59:02 PM , hardly any lol
1, 07/15/06 9:59:10 PM , ok u dont have to
1, 07/15/06 9:59:16 PM , how muh do u weigh
0, 07/15/06 9:59:56 PM , bout 98
1, 07/15/06 10:00:11 PM , ok mmmmmmmm
1, 07/15/06 10:00:24 PM , well r u afraid to be with a man
0, 07/15/06 10:00:44 PM , dont think so lol
1, 07/15/06 10:01:01 PM , so if i asked u to suck my dick what would u do
0, 07/15/06 10:01:08 PM , omg lol
0, 07/15/06 10:01:23 PM , dont kno how yet actully
1, 07/15/06 10:01:44 PM , just put ur mouth on it go up and down
0, 07/15/06 10:01:48 PM , oh
1, 07/15/06 10:02:22 PM , and use ur tongue
0, 07/15/06 10:02:35 PM , oh lol k
1, 07/15/06 10:03:27 PM , so u dont masterbate huh
0, 07/15/06 10:03:55 PM , didnt yet lol
1, 07/15/06 10:04:50 PM , sorry i see
0, 07/15/06 10:04:59 PM , see wat ? lol
1, 07/15/06 10:05:15 PM , u r not interested in sex
0, 07/15/06 10:05:27 PM , idk just didnt yet
1, 07/15/06 10:05:43 PM , i am willing to spoil u
0, 07/15/06 10:05:55 PM , really ? ur sweet
1, 07/15/06 10:06:13 PM , yes
1, 07/15/06 10:06:16 PM ,250
0, 07/15/06 10:09:33 PM , wats 250 ?
1, 07/15/06 10:10:18 PM , dollars
1, 07/15/06 10:11:13 PM , u there
0, 07/15/06 10:11:33 PM , wats 250 dollars mean ?
1, 07/15/06 10:11:52 PM , i will give u
1, 07/15/06 10:12:45 PM , did u leave
0, 07/15/06 10:13:01 PM , nope im hear
0, 07/15/06 10:13:04 PM , here
0, 07/15/06 10:13:13 PM , wat did u mean by give me ?
1, 07/15/06 10:13:42 PM , give it to u
0, 07/15/06 10:13:55 PM , y do u wan na give me money ? lol
1, 07/15/06 10:14:03 PM , cuz i want you
0, 07/15/06 10:14:19 PM , u dont got ta buy me lol
1, 07/15/06 10:14:45 PM , well i do really wanta meet u
0, 07/15/06 10:14:56 PM , wow lol
1, 07/15/06 10:15:07 PM , ok i will back offf
0, 07/15/06 10:15:13 PM , its k lol
0, 07/15/06 10:15:24 PM , u r movin a lil fast lol
1, 07/15/06 10:15:39 PM , well i go after what i want
0, 07/15/06 10:15:55 PM , oh lol
0, 07/15/06 10:16:00 PM , umm
0, 07/15/06 10:16:28 PM , mayb we could talk or somethin like on the phone
0, 07/15/06 10:16:33 PM , c if ur ok
1, 07/15/06 10:16:56 PM , what if i am too big for u
0, 07/15/06 10:17:04 PM , big how ?
1, 07/15/06 10:17:15 PM ,10
0, 07/15/06 10:17:30 PM , 10 wat ?
1, 07/15/06 10:17:55 PM , 10 iches
0, 07/15/06 10:18:02 PM , oh lol
1, 07/15/06 10:18:28 PM , do u think that is too big
0, 07/15/06 10:18:36 PM , idk is it ?
1, 07/15/06 10:19:07 PM , u ever tried to slide ur finger in ur pussy
0, 07/15/06 10:19:26 PM , no lol
1, 07/15/06 10:19:51 PM , yes i like u alot
0, 07/15/06 10:20:00 PM , u do ?
1, 07/15/06 10:20:07 PM , yes
1, 07/15/06 10:20:14 PM , i am a blk guy
0, 07/15/06 10:20:18 PM , k
1, 07/15/06 10:20:38 PM , u ever seen a man 's dick
0, 07/15/06 10:20:49 PM , not for real
0, 07/15/06 10:20:57 PM , just like on cam
1, 07/15/06 10:21:08 PM , what did u think
0, 07/15/06 10:21:23 PM , cool i guess lol
1, 07/15/06 10:21:41 PM , u never looked at porn
0, 07/15/06 10:22:09 PM , cpl times lol some guy showed me
1, 07/15/06 10:22:19 PM , where on here
0, 07/15/06 10:22:37 PM , yea lol
1, 07/15/06 10:23:21 PM , did u like it
0, 07/15/06 10:23:40 PM , was kinda cool i guess lol
1, 07/15/06 10:23:53 PM , did it make u wanta kiss a guy
0, 07/15/06 10:24:08 PM , idk lol
1, 07/15/06 10:24:33 PM , maybe i shouldnt try to find out
0, 07/15/06 10:24:51 PM , lol
0, 07/15/06 10:25:00 PM , try wat ?
1, 07/15/06 10:25:22 PM , to have sex with you
0, 07/15/06 10:25:32 PM , oh lol
0, 07/15/06 10:25:43 PM , that wat u want ? lol
1, 07/15/06 10:25:54 PM , yes
1, 07/15/06 10:25:58 PM , is that bad
0, 07/15/06 10:26:08 PM , guess not lol
1, 07/15/06 10:26:41 PM , when can i call u
0, 07/15/06 10:27:15 PM , umm dont think i better give u number grampa might pick up
0, 07/15/06 10:27:19 PM , i could call u
1, 07/15/06 10:27:26 PM , awwwwwww
1, 07/15/06 10:27:33 PM , i would just hang up
1, 07/15/06 10:27:53 PM , its long distance for u
0, 07/15/06 10:27:53 PM , not really safe anyhow lol i dont kno u yet
0, 07/15/06 10:28:05 PM , i got a call card mom gave me to call home
1, 07/15/06 10:28:20 PM , ok
1, 07/15/06 10:28:27 PM , how many guys have u called
0, 07/15/06 10:28:42 PM , umm 1
0, 07/15/06 10:28:49 PM , y ?
0, 07/15/06 10:29:24 PM , besides my bf but we broke up
1, 07/15/06 10:29:30 PM , how old was he
0, 07/15/06 10:29:47 PM , he was 17
1, 07/15/06 10:30:08 PM , ok i am 26
1, 07/15/06 10:30:14 PM , is that too old
0, 07/15/06 10:30:23 PM , umm u said 23 bfore
1, 07/15/06 10:30:32 PM , sorry type O
1, 07/15/06 10:30:39 PM , i am i was looking at something
1, 07/15/06 10:30:41 PM ,23
0, 07/15/06 10:30:54 PM , u sure ? lol
1, 07/15/06 10:31:05 PM , yesssssss
